issue_id,framework,date,short_url,title,prevented_at_compile_time,user_dollar_loss,notes,label
MAST-005,mastra,2025-12,#11273,maxOutputTokens quits agentic loop if max output tokens reached at a particular step,,,"paper:fr; UPGRADED from SKIPPED in v22-batch-26 revision per codebook section 10. Original triage skipped as S5 (user-found-existing-feature) but new evidence-deepening (Discord-source verbatim quotes, trace evidence, primitive-exists-but-only-via-callback-closure sub-mechanism framing) recharacterizes as fr-shape M-budget-primitive-missing case. CLOSED Dec 31 2025 by Member @roaminro as completed -- via stopWhen-callback workaround NOT first-class config field. Filed Dec 19 2025 by @daneatmastra (Mastra Contributor, Discord-sync-bot mirroring user post). REPORTER ORIGINAL DISCORD-SOURCED QUOTE (verbatim from @arielweinberger Dec 18 Discord post 1451303997465166167): ""We have an agentic loop with maxSteps 20. We also have agent.stream(..., { modelSettings: { maxOutputTokens: 5000 } }... we see in our traces that one of the steps reached its output token limit... my understanding is that this setting is at the LLM request level (stop). we have found no way to limit the total output tokens for the entire agentic loop, is there one? That would be our preferred option over setting it at the modelSettings level."" CONCRETE TRACE EVIDENCE: stepIndex 3 hit outputTokens 5000 with finishReason: length AND inputTokens: 1 (only 1 input token in iter 3 means this is mid-loop continuation). MAINTAINER WORKAROUND VIA STOPWHEN-CALLBACK NOT FIRST-CLASS CONFIG: @roaminro (Member) Dec 19 (via Discord, mirrored Dec 20 to issue) provided stopWhen callback closure -- ""For a loop level limiter, you could maybe use stopWhen, something like this: stopWhen: ({ steps }) => { const totalOutputTokens = steps.reduce((sum, step) => sum + (step.usage.outputTokens || 0), 0); return totalOutputTokens >= 100000; }"". Reporter @arielweinberger Dec 19 acknowledgement: ""okay, we have not tried that. that seems like the solution."" MULTI-USER INTEREST: @suhas_deshpande Dec 18 Discord: ""Also curious about this."" DISCORD-AS-SOURCE-OF-TRUTH PATTERN: All technical exchange happened on Discord (channel 1309558646228779139); issue is Discord-mirror via daneatmastra automated sync. Documents Mastra primary support venue (Discord) being where actual problem-solving happens, with issues serving as artifact-only mirrors. POST-CLOSURE 7-WEEK-LATER FOLLOW-UP COMMIT: @mathemusician Feb 23 2026 commit e2f8649 ""Increase maxOutputTokens to 8000 to fix truncation issue"" -- separate-but-related (default cap too low for many use cases). NEW SUB-MECHANISM within M-budget-primitive-missing: primitive-exists-but-only-via-callback-closure (Mastra has stopWhen primitive that CAN do aggregate-budget-enforcement via user-written reduce + threshold-check, but no declarative maxTotalOutputTokens config field at agent.stream() level -- requires user to write closure correctly each time, error-prone vs first-class field). Distinct from SMAG-005 primitive-doesnt-exist, MAST-004 primitive-only-runs-at-memory-retrieval, CRAI-011 primitive-exists-but-broken-via-silent-regression. REVISION TRANSPARENCY NOTE: original S5 skip was correct on narrow reading; updated retention reflects evidence-deepening. Methodology trail preserved.",S5
MAST-006,mastra,2025-09,#8162,[BUG] Langfuse exporter not capturing output tokens from LLM calls,,,"paper:bf; closed completed Oct 14 2025 by Member @epinzur via PR #8790 (preceded by reporter-filed PR #8417). Filed Sep 25 2025 by @rmarquet21 against @mastra/langfuse 0.0.8 + @ai-sdk/anthropic 2.0.17 with thinking.budgetTokens 12000 enabled. Tagged bug + p:high + Observability (AI Telemetry). Documented gap: ""LLM trace in Langfuse shows: Output: null, Completion tokens: 0, Total tokens only counting input tokens (e.g. 10,528 -> 0 (Sum 10,528))."" Reporter explicitly noted: ""However, the agent span correctly shows output data, indicating the LLM is producing output that is not being captured in the trace."" Linked to umbrella tracking issue #8149. 19-day resolution. Mastra first M-cost-observability bug-with-fix (vs MAST-002/003 which are feature requests). Sub-mechanism: observability-export-layer mapping gap, distinct from MAST-002 framework-level token tracking and MAST-003 network-iteration-level rollup. Direct parallel to LANG-006/007/008/010 cluster. NOTABLE asymmetry: 19-day fix here vs LANG-008 4-month auto-stale-close on same bug class -- strengthens codebook asymmetric-attention claim. Mastra now has 3 M-cost-observability rows (MAST-002 framework-level fr, MAST-003 network-iteration fr, MAST-006 observability-layer bf) -- matches AutoGen 4-row stratification (ATGN-006/008/009/010) and LangChain 4-row pattern. Cross-framework architectural-pattern claim now well-supported by 3 ecosystems.",bf
MAST-007,mastra,2025-10,#8351,Mastra Server not handling rate limit error for anthropic provider,,,"paper:bf; closed completed Oct 7 2025 (6-day resolution) via PR #8567 by @LekoArts (Member). Filed Oct 1 2025 by Contributor @wardpeet on behalf of Discord user @meghdip-fenrir. Documented mechanism: Anthropic API returns 429 with ""This request would exceed the rate limit for your organization of 30,000 input tokens per minute""; Mastra Server fails to catch the AI_APICallError exception, resulting in an unhandled exception in the agent stream that returns HTTP 200 OK with crashed body. Stack trace shows error originating at AnthropicMessagesLanguageModel.doStream then propagating through wrapStream and createStream. Maintainer @roaminro quotable acknowledgment: ""We do not currently handle rate limit errors automatically. But, yes, I do not think it should return a 200 :)"" Reporter critical follow-up @meghdip-fenrir: ""The automatic retry also fails because of the response being 200. It would be nice if there was a way to automatically wait for the retry after and make the request again when the rate limit is hit for providers"" -- articulates that the framework-level retry-on-429 feature is also missing. Tagged bug + p:high + Mastra Server. Direct parallel to LANG-016 (Anthropic rate-limit silent-hang) but distinct sub-mechanism: 200-OK-on-429 breaks client-side retry logic (vs LANG-016 server-hangs-indefinitely). M-rate-limit-amplification cluster now spans 3 frameworks: LangChain (LANG-012, LANG-016), Aider (AIDR-003), Mastra (MAST-007). Reporter follow-up about missing auto-retry-after-header echoes the unfilled feature gap that LANG-014, LANG-016, AIDR-003 all surfaced.",bf
MAST-008,mastra,2026-01,#12014,[FEATURE] Expose provider response headers in agent.generate() and agent.stream(),,,"SKIPPED for paper after URL verification (S5 user-found-existing-feature). Filed Jan 16 2026 by @tomaskupka requesting response.headers be added to agent.generate() and agent.stream() return values to enable rate-limit-aware batch processing. Tagged enhancement + impact:high + effort:medium + Agents. Body has strong cost-observability framing including ""Cost optimization: Access to headers like anthropic-ratelimit-tokens-reset helps optimize batch processing"" and ""Token usage tracking - Estimate rate limits by accumulating usage.inputTokens across requests"" alternatives-considered section. Member @graysonhicks responded same day with code pointers showing the feature already exists and noted: ""I do think the docs for generate are kind of hiding this under the result type though."" Reporter @tomaskupka tested 3 days later (Jan 19): ""Just tested agent.generate(my prompt).response?.headers?.[anthropic-ratelimit-input-tokens-remaining], and it works!"" Closed Jan 21 2026 in PR #12115 -- DOCS-ONLY fix. Same shape as MAST-005, CRAI-005, AGPT-004, LLMI-001. Codebook S5 cleanly applies. Note: this case adds qualitative signal that even when frameworks DO expose cost-optimization primitives, docs hiding them defeats the purpose -- worth a sentence in paper Section 6 if the discoverability theme gets developed.",S5
MAST-009,mastra,2025-10,#9068,[FEATURE] Add support for providerOptions (e.g. cache control) when defining tools,,,"paper:fr; closed completed Nov 29 2025 (~5 week resolution) via PR #10649 by Member @abhiaiyer91 (commit d6ce671). Filed Oct 21 2025 by @diegoarda. Tagged enhancement + Tools. Cost-optimization framing throughout: ""Having this flexibility is useful to optimize latency, cost, and correctness depending on the tool purpose"" and proposed Mastra-internal forwarding of providerOptions including {anthropic: {cacheControl: {type: ephemeral}}} from tool definitions to underlying model calls. CRITICAL post-merge regression report by @Prince-Mendiratta (Jan 23 2026): ""this does not seem to be working? I am on v1"" with full weatherAgent config showing both thinking budget_tokens: 32000 and cacheControl: {type: ephemeral} in defaultOptions.providerOptions.anthropic block. No maintainer reply at fetch time. Pattern: cost-control feature shipped, then breaks during major version bump (v1) -- parallels ATGN-009 (v0.2 -> v0.4 cost-observability regression). M-cost-feature-gap cluster expansion: Mastra second fr-shaped cost-control row (MAST-002 cost-tracking, MAST-009 cache-control), parallel to AIDR-009 (/compact manual cost-control). Cross-framework cost-feature-gap cluster: AGPT-001/002, AIDR-009, NANO-001, MAST-002, MAST-009 -- n=5 paper-tagged cases across 5 frameworks/years.",fr
MAST-010,mastra,2025-07,#5876,[BUG] Query performance reduces as memory grows larger,,,"paper:bf; closed completed Sep 16 2025 (~2 month resolution) by Member @NikAiyer via PR #7757 (commit 60c9cec). Filed Jul 13 2025 by @alexbaileyuk against @mastra/pg 0.12.2. Tagged Bug issue type + p:high + Storage & Databases. Reporter explicitly bridged to MAST-001: ""Could possibly relate to Upstash for storage is getting ridiculously expensive."" Documented mechanism: mastra_threads PostgreSQL table only had primary-key index; getThreadsByResourceId generated SELECT...WHERE resourceId = $1 ORDER BY createdAt DESC executing as full table scan. Community contributor @yeouchien expanded scope with code-line references to 4 affected query paths: getMessages, getMessagesPaginated, getTracesPaginated, getEvals -- all full-scanning their respective tables on resourceId/thread_id/agent_name/name. Resolution: PR #7757 added index management to PostgreSQL storage adapter plus automatic indexes on initialization. NOVELTY: n=2 case for storage-amplification sub-mechanism within Mastra (MAST-001 Upstash command-count + MAST-010 PostgreSQL full-scan); per codebook section 10, n=3 minimum to elevate to its own M-storage-amplification category. Follow-up Discord issue #8044 by @wardpeet extending request to MongoDB; follow-up users @kosukeoya and @atomaisc explicitly asking about MongoDB support. Suggests storage-cost amplification recurs across backend choices and is not Postgres-specific. Distinct from LLM-cost-amplification cluster: framework-induced storage-backend cost from inefficient query patterns rather than retry-storm or context-amplification. ACTION ITEM for batch 18+: search PostgreSQL/Redis/Mongo storage cost issues across LangChain, AutoGen, LlamaIndex repos to test whether storage-amplification reaches n=3 cross-framework, which would justify M-storage-amplification as its own paper category.",bf
MAST-011,mastra,2025-12,#11344,[BUG] Memory class does not support AI SDK v5 providerOptions for embedding dimensions,,,"paper:bf; closed completed Dec 23 2025 (NEXT-DAY resolution) via PR #11362 by Member @abhiaiyer91 (commit 7bcbf10). Filed Dec 22 2025 by @marto against @mastra/memory 0.15.13 + @mastra/core 0.24.8 + ai 5.0.115 + @ai-sdk/openai 2.0.88. Documented mechanism with source line reference: @mastra/memory/dist/index.js line 522 calls embedMany() without providerOptions, blocking OpenAI Matryoshka Representation Learning dimension-shortening for text-embedding-3-large/small. Concrete amplification factor cited in body: ""Storage costs: Users must use full 3072-dimension vectors instead of optimized 256-dimension vectors (12x more storage)."" Body cites OpenAI MTEB benchmark: ""text-embedding-3-large embedding can be shortened to a size of 256 while still outperforming an unshortened text-embedding-ada-002 embedding with a size of 1536."" Reporter explicitly stated ""No workaround: There is no way to configure this through Memory current API"" then in same body provided a working withOpenAIDimensions wrapper using doEmbed() override. Body cited related closed issues: #7117, #3236. Retag pattern: @abhiaiyer91 retagged from bug to enhancement+effort:low+impact:high+For Release before fixing -- same maintainer-perspective signal as MAST-004 but unlike MAST-004 mf closure, this one shipped within 24 hours. CLUSTER MILESTONE: n=3 case for storage-amplification within Mastra alone (MAST-001 Upstash command-count + MAST-010 PostgreSQL full-scan + MAST-011 embedding-dimension-not-passed) -- per codebook section 10 (n=3 minimum for new category), this clears the threshold to elevate storage-amplification from sub-mechanism to its own M-storage-amplification category in v1.1 codebook revision. Three distinct sub-mechanisms: (a) storage-backend-command-count, (b) framework-side-missing-indexes, (c) embedding-dimension-not-passed-through. ACTION ITEM v1.1: codebook revision should add M-storage-amplification with these 3 cases as exemplars.",bf
MAST-012,mastra,2025-09,#7934,Anthropic System Prompt Caching Regression,,,"paper:bf; closed completed Sep 19 2025 (2-day resolution) via PR #7987 by Member @abhiaiyer91 (commit cf34503). Filed Sep 17 2025 by Contributor @wardpeet on behalf of Discord user. Tagged p:urgent. Reporter documented Mastra Agent class wrapping logic dropping providerOptions for system role messages despite passing them in streamVNext message array. Reporter provided MINIMAL REPRO PROVING MECHANISM: identical code structure with @ai-sdk/anthropic streamText direct call DOES cache the system prompt; same code through Mastra Agent class wrapping omits the providerOptions. Reporter quote: ""it seems that Mastra has some proprietary logic wrapped over the AI-SDK that omits the added providerOptions."" Maintainer @abhiaiyer91 quotable resolution: ""Hi we just added the ability to pass SystemMessage in instructions rather than just a string! This should solve your issue natively!"" CRITICAL POST-MERGE REGRESSION: @razasaad reported Sep 25 2025 (6 days post-close) with @mastra/core 0.18.0 using exactly the pattern @abhiaiyer91 said would work: ""I am still encountering the issue with caching request not being propagated."" No maintainer reply at fetch time. Same fix-shipped-immediately-regressed pattern as MAST-009 (Prince-Mendiratta v1 regression). providerOptions-silently-dropped recurring sub-mechanism cluster within Mastra now n=3: MAST-006 (Langfuse output mapping), MAST-009 (tool-level cacheControl), MAST-012 (system-message cacheControl).",bf
MAST-013,mastra,2026-03,#13849,Anthropic prompt caching with agent.stream() and Memory -- how to cache conversation history?,,,"paper:bu; closed Mar 6 2026 (next day) by Member @roaminro pointing to mastracode promptCacheMiddleware as recommended approach. Filed Mar 5 2026 by Contributor @daneatmastra from Discord (user brandrsn) against @mastra/core 1.9.0 + claude-haiku-4-5-20251001 + agent.stream() with maxSteps: 5 + Memory with lastMessages: 20. INITIAL COST DATA: ""The Anthropic dashboard confirms ~50% cache hit rate -- system prompt + tools are cached. The remaining 50% is conversation history loaded from Memory, which has no cache_control markers. As conversations grow, the hit rate drops."" Reporter described attempted moving-cache-breakpoint pattern: ""We tried adding providerOptions to messages passed to agent.stream(), but it gets stripped for UIMessages (from useChat) during the adapter chain."" CRITICAL POST-CLOSE FOLLOW-UP by @brandrsn (Mar 10): ""we were not able to use the processInputStep processor approach you recommended. In our case, conversations include tool calls, and we found that aiV5UIMessagesToAIV5ModelMessages() maps providerOptions by array index between UIMessages and ModelMessages. When assistant messages with tool calls get split into multiple ModelMessages, the indices diverge and the providerOptions ends up on the wrong message (or is lost entirely)."" Reporter achieved ~92% cache hit rate using AI SDK middleware workaround vs 50% baseline -- quantifiable cost mechanism. Reporter explicit unanswered question: ""is the middleware approach the right long-term solution, or is the processInputStep index mapping something you would consider a bug to fix?"" No maintainer answer at fetch time. Cited related issue #13848 pairs with MAST-006 Langfuse exporter cluster. ACTIVE FOLLOW-UPS post-close: #15474 filed 2 weeks before fetch; PR #16133 filed 4 hours before fetch by @intojhanurag -- index-mapping bug remains active topic. NEW sub-mechanism: providerOptions-index-mapping-breaks-on-tool-call-splits (distinct from MAST-006/009/012 whole-providerOptions-dropped pattern). 50% -> 92% cache hit rate jump = 42 percentage points unmitigated Anthropic cache cost.",bu
MAST-014,mastra,2026-03,#14598,OM issues in tool heavy environments,,,"paper:bu; EXPANDED in v22-batch-30 with deeper architectural-detail analysis per codebook section 10 evidence-deepening policy. Closed Mar 28 2026 by Member @roaminro as completed (5 days filing-to-close) with NO PR LINKED + NO FIX-COMMIT REFERENCED -- closed-without-visible-fix sub-pattern (parallels closed-by-promise-without-PR-link from LLMI-006/DSPY-003). Filed Mar 23 2026 by Member @daneatmastra (Discord-sync from post 1485626452807385108 by @murilo.zaz). Tagged Memory + Tools + bug + impact:medium + effort:high + discord + trio-tb. GOLD-STANDARD ARCHITECTURAL-DETAIL EVIDENCE: Reporter @murilo.zaz (via Discord-sync) quotable architectural-mistake quote: ""OM processInputStep counts tokens from the current turn tool results, which are ephemeral -- they are not persisted to DB, they are only used for the current generation step. But OM treats them as new unobserved messages that inflate the token count toward the observation threshold."" CONCRETE QUANTIFIED IMPACT PAPER-QUOTABLE (largest single-call amplification in catalog, surpassing LANG-035 254K input): ""With default thresholds (messageTokens=30k): Observation threshold crossed in ~4 seconds, blocking the thread for up to 148 seconds while the observer LLM processes the entire conversation. With raised thresholds (messageTokens=200k): Blocking is rarer but when it does trigger, it processes enormous context (up to 2M tokens at blockAfter=10), taking 10-40+ seconds."" 2 MILLION TOKENS IN SINGLE OBSERVER LLM CALL. PROCESS DESCRIPTION FROM CHUNK-SUU4IAZJ.js: handleThresholdReached function: totalPendingTokens >= messageTokens (threshold)? -> handleThresholdReached() -> await async buffer op (30s timeout) -> tryActivateBufferedObservations() -> SUCCESS: instant activation OR FAIL: check blockAfter -> tokens >= blockAfter*messageTokens -> SYNC observation (blocks). Reporter exhausted 5 DISTINCT WORKAROUND APPROACHES each documented with failure mode (most exhaustive workaround-documentation in catalog): (1) Raise thresholds to 200k blockAfter=10 -- ""Avoids blocking but OM rarely runs, defeating its purpose. When it does run, it is very slow""; (2) Lower thresholds to match Mastra Code (30k) -- ""Triggers too often due to tool results inflating token count""; (3) Make OM only process DB-persisted messages -- ""This is the desired approach but requires changes to OM internals""; (4) Custom input processor to strip tool results before OM -- ""Would work but diverges from native OM behavior""; (5) OM sanitization features (sanitizeToolResultValue, maxToolResultTokens=10k) -- ""OM already has some built-in sanitization but it is insufficient -- it caps individual tool results at 10k but does not exclude them from token counting toward the threshold."" NEW PATTERN: 5-distinct-workarounds-each-documented-with-failure-mode-pattern. Reporter explicit framework-architectural-mistake: ""Tool results are used for the current generation step only -- they should not count toward OM thresholds. System prompt is computed dynamically each turn -- should not be observed. OM should run 100% in background, processing the conversation as it exists in storage."" Cross-references Mastra Code (Anthropic deployment): ""Mastra Code uses messageTokens=30k, bufferTokens=0.2, blockAfter=2 -- same ratios but works because Mastra Code tool results are smaller (terminal output, short file reads). In a builder agent reading entire files and skills, each tool result is 10-30k tokens."" Tool result size scaling: 10-30k tokens each x toolCallConcurrency: 10 = 30-150k tokens of tool results per single agent step. NEW SUB-MECHANISM within M-context-amplification: observability-system-itself-amplifies-cost-during-tool-heavy-runs. THIRD ARCHITECTURAL LEVEL for M-context-amplification cluster: (1) compile-time (DSPY-001 + DSPY-003 MIPROv2); (2) runtime agent-step-loop (SMAG-002, SMAG-006, MAST-004); (3) NEW runtime observability-layer (MAST-014). Strongest single architectural-detail row in catalog. ORIGINAL TRIAGE NOTES PRESERVED: was previously classified as M-delegation-fanout cross-cluster fit; v22-batch-30 reclassifies primary cluster to M-context-amplification observability-layer level with M-delegation-fanout cross-cluster note retained.",bu
MAST-015,mastra,2026-01,#12519,[FEATURE] Force fix JSON retry the call on JSON failures,,,"SKIPPED for paper after URL verification (S3 weak-evidence-stub for cost cluster). Filed Jan 30 2026 by Contributor @TiagoGouvea against @mastra/core 1.1.0 proposing 5 structured-output recovery features: maxRetries, retryOn, tokenExpansionMultiplier (2x on retry), attemptJsonRepair, fallbackStrategy. Closed SAME DAY via PR #12526 by Member @graysonhicks (commit 47eba72) -- partial fix in agent-network code path only. Maintainer quotable: ""Yes, this can definitely be a problem. I know we already handle it in some places, and I just did a PR yesterday to address in another place. If it continues to be a big problem, I think more advanced control as you propose could be a good idea."" Reporter post-close evidence Jan 31 + Feb 2 documents recurring failures across kimi-k2, qwen-turbo, gemini-2.5-flash, llama-3.1-8b-instant, Qwen3-235B. Reporter built and published json-llm-repair package as external workaround. tokenExpansionMultiplier proposal is a token-burning pattern that would parallel AIDR-006 BUT honest classification: underlying mechanism is OUTPUT-VALIDATION-RECOVERY not BUDGET-OVERRUN. Adding to M-cost-feature-gap cluster would dilute with output-correctness-retry cases. Same-day partial-fix + maintainer acknowledgment of broader proposal + post-close evidence not engaged puts this in S3 territory. CONDITIONAL: if a future batch surfaces explicit token-amplification incidents from validation retries (e.g., user reporting 5x retry costs from JSON repair loop), this could pair with that case as M-output-recovery-amplification at n=2.",S3
LANG-017,langchain,2023-08,#9929,ParentDocumentRetriever is slow with FAISS because add_documents uses embed_query without batching,,,"paper:bu; auto-stale-closed by dosubot Feb 20 2024 as not-planned with NO HUMAN-MAINTAINER ENGAGEMENT throughout 6-month thread. Filed Aug 29 2023 by Contributor @oegedijk. Documented mechanism with source line: vectorstores/faiss.py:166 contains embeddings = [self.embedding_function(text) for text in texts] -- single-call list comprehension where batched embed_documents() would be ~1000x more efficient (OpenAI default batch=1000). Reporter posted working monkeypatch using OpenAIEmbeddings.embed_documents() directly bypassing FAISS.add_documents. COMMUNITY VALIDATION: @jamesw6811 (Sep 20 2023): ""I think this patch would make a good PR""; @yiouyou (Oct 20 2023) + @weissenbacherpwc (Nov 7 2023) reused the patch asking only setup questions; @jsxyhelu (Apr 8 2024, post-stale-close) provided full working integration with HuggingFaceBgeEmbeddings adapter. dosubot tagged auto:improvement, encouraged PR, but never escalated to human maintainer review. Same sub-mechanism as MAST-011 (embedding-dimension-not-passed-through): framework storage adapter does not pass available efficiency primitives through to embedding API. Same sub-mechanism as LANG-019 (Azure Search batch-API-not-used) -- confirms pattern is adapter-class architectural, not adapter-specific. CROSS-FRAMEWORK SIGNAL: combined with MAST-001/010/011 (Mastra n=3), LANG-017/019 (LangChain), LLMI-005/006 (LlamaIndex), establishes M-storage-amplification as cross-framework architectural class. Adds first LangChain entry to M-storage-amplification cluster.",bu
LLMI-005,llamaindex,2024-06,#13992,LanceDBVectorStore database size blows up on creation,,,"paper:bf; closed completed Jul 8 2024 via PR #13993 by Member @logan-markewich (commit c828e11) -- 1-day from filing to merge. Filed Jun 7 2024 by Contributor @marrrcin against llama-index 0.10.43 on macOS 14.4. CONCRETE REPRO with MockEmbedding(768) proves framework adapter is culprit not embedding model: ""storing 500 docs takes 1.2GB on disk"" vs ""same data in e.g. Chroma takes ~5MB on disk"" = ~240x storage amplification. Reporter quotable mechanism diagnosis: ""It is a bug in LanceDBVectorStore.add logic which results in quadratic storage increase. I am working on a fix right now."" Body shows add() source code constructing append_data dict per node with vector embedded inline plus full metadata, suggesting per-node duplication on each table.add() call. Reporter-as-fixer pattern: filed bug + fix PR same day, merged next day. dosubot offered generic optimization advice (create_index, compression, scalar/vector index) that missed the actual quadratic-add-logic mechanism -- contrast with @marrrcin correct root-cause diagnosis demonstrates value of human reporter expertise over LLM bot triage. Sub-mechanism within M-storage-amplification: vector-store-write-amplification (distinct from MAST-001 storage-command-count which is read-amplification, distinct from LANG-017/019 embedding-batching-not-used which is embedding-side). Adds first LlamaIndex entry to M-storage-amplification cluster. Pattern parallels MAST-001 at write-time -- both are framework-side-write-pattern-induced storage cost, different storage backends.",bf
LANG-018,langchain,2023-07,#8352,Loading vectorstore from disk still calls to OpenAI embeddings API,,,"SKIPPED for paper after URL verification (S3 weak-evidence-stub). Filed Jul 27 2023 by @xxt07d; auto-stale-closed by dosubot Nov 2 2023 as not-planned. dosubot tagged auto:question (not auto:improvement) -- bot classification as user error rather than framework bug. Reporter evidence ambiguous on second-look: code shows if os.path.exists(path) branch loads via Chroma + embedding_function=OpenAIEmbeddings() and else branch creates via VectorstoreIndexCreator. Reporter reports ""2 requests to text-embedding-ada-002-v2 since there are 2 text files"" verified via OpenAI billing dashboard -- this is EXPECTED first-run behavior (creating embeddings for 2 fresh files), NOT the load-path re-embedding the reporter framing implies. Reporter framed as ""still calls"" suggesting a second-run observation, but reproduction steps describe first-run only. ZERO community confirmations, ZERO human-maintainer engagement, dosubot user-error classification. Pattern of re-embedding-on-load IS legitimate (LLMI-006 has stronger evidence for it via Disiok maintainer ack), but this specific case does not clear the bar. Skipping per S3 keeps M-storage-amplification cluster mechanism-coherent.",S3
LLMI-006,llamaindex,2023-05,#3424,How to store embedding vector when using a custom embedding model?,,,"paper:bu; closed completed Jun 11 2023 by Collaborator @Disiok with EXPLICIT ACKNOWLEDGMENT: ""Looks like the embedding not saving to disk is a bug, going to fix this!"" -- but no clear evidence of fix landing in identifiable PR. Filed May 17 2023 by @DZ9 against llama-index 0.6.7 + langchain 0.0.169 with HuggingFaceEmbeddings (text2vec-large-chinese model) and ChatGLM custom LLM. Documented mechanism: GPTListIndex with custom embedder, index.storage_context.persist() writes empty vector_store.json, ""the embedding vector will regenerate every time I run the code."" Direct cost-amplification mechanism: persistent storage primitive does not actually persist embeddings, forcing full re-embedding cost on every load. @Disiok partial workaround pointer: GPTListIndex stores embeddings in index_store.json not vector_store.json -- recommended switching to VectorStoreIndex. BUT @Disiok explicitly committed to fix the underlying bug separately from the workaround. CRITICAL POST-CLOSURE FOLLOW-UP by @fishfree (Jan 16 2024, ~7 months later): ""@Disiok Sorry to disturb you. You marked this issue as completed, then where is your commit, please?"" -- pointed question suggesting promised fix never shipped in identifiable PR. No maintainer reply at fetch time. Pattern: closed-as-completed-by-promise-without-delivery (similar to ATGN-010 ""we will address after 0.4.0"" pattern). Sub-mechanism within M-storage-amplification: re-embedding-on-load (distinct from LLMI-005 vector-store-write-amplification, distinct from LANG-017/019 embedding-batching). Pattern parallels MAST-011 (Memory class does not pass providerOptions for dimensions) -- both are framework persistence layer not preserving cost-relevant config. Adds second LlamaIndex entry to M-storage-amplification cluster.",bu
LANG-019,langchain,2023-10,#11313,Azure Cognitive Search vector DB store performs slow embedding as it does not utilize the batch embedding functionality,,,"paper:bu; auto-stale-closed by dosubot Feb 12 2024 as not-planned despite multiple community confirmations + apparent fix attempts. Filed Oct 3 2023 by @butlfrazp (Author noted ""I am going to work on this issue""). Documented mechanism: AzureSearch.add_documents processes documents individually, not utilizing batch embedding capability that Milvus implementation supports. COMMUNITY CONFIRMATIONS: @pietz (Oct 27 2023): ""I am facing the same issue. Currently adding documents will request an embedding for each doc sequentially until it has 1000 embeddings""; @pablocastilla (Nov 6 2023): ""When we split a document in 180 chunks it takes one minute to upload to azure."" REFERENCED FIXES BEFORE STALE-CLOSE: @msetbar PR #15594 (Jan 5 2024) ""community: Fixing a performance issue with AzureSearch to perform batch embedding""; @hwchase17 (LangChain founder/Member) commit eb76f9c (Jan 12 2024) referencing this issue. CRITICAL POST-CLOSURE @pietz (Feb 27 2024, 15 days after stale-close): ""Nothing has happened here, so let me post my dirty workaround"" with concrete upload_documents() function delivering ""10x faster in my initial test"" -- demonstrates user-facing performance gap persisted at fetch despite apparent partial-fix activity. pietz workaround processes 1000 docs per batch via embedder.embed_documents() then uploads via vector_store.client.upload_documents(docs_batch). Pattern: fix-attempts-without-clear-user-facing-resolution + auto-stale-close. Same sub-mechanism as LANG-017 (batch-API-not-used) but for different framework adapter (Azure Search vs FAISS) -- confirms pattern is adapter-class architectural not adapter-specific. CROSS-FRAMEWORK MILESTONE: with LANG-017/019 + MAST-001/010/011 + LLMI-005/006 (now n=7 across 3 frameworks), M-storage-amplification cluster definitively clears codebook section 10 threshold for own paper category. Sub-mechanisms documented across cluster: (a) embedding-batching-not-used (LANG-017 FAISS, LANG-019 Azure Search), (b) embedding-dimension-not-passed (MAST-011), (c) re-embedding-on-load (LLMI-006), (d) vector-store-write-amplification (LLMI-005), (e) storage-backend-command-count (MAST-001 Upstash), (f) framework-side-missing-indexes (MAST-010 PostgreSQL). Six distinct sub-mechanisms across three frameworks confirms architectural-class rather than framework-quirk.",bu
